data,loja,regiao,produto,categoria,quantidade,preco_unitario
2024-01-24 18:49:37.443609,Loja Norte,Norte,Boné,Acessórios,2.0,297.46
2024-01-25 16:46:55.037593,Loja Norte,Norte,Tênis,Calçados,9.0,77.4
2024-01-26 14:44:12.631578,Loja Shopping,Centro,Jaqueta,Vestuário,1.0,126.18
2024-01-27 12:41:30.225563,Loja Shopping,Centro,Camiseta,Vestuário,14.0,279.41
2024-01-28 10:38:47.819548,Loja Centro,Centro,Camiseta,Vestuário,1.0,222.05
2024-01-29 08:36:05.413533,Loja Centro,Centro,Tênis,Calçados,5.0,33.47
2024-01-30 06:33:23.007518,Loja Shopping,Centro,Jaqueta,Vestuário,6.0,238.82
2024-01-31 04:30:40.601503,Loja Norte,Norte,Jaqueta,Vestuário,6.0,251.82
2024-02-01 02:27:58.195488,Loja Norte,Norte,Mochila,Acessórios,3.0,230.14
2024-02-02 00:25:15.789473,Loja Centro,Centro,Mochila,Acessórios,7.0,243.87
2024-02-02 22:22:33.383458,Loja Shopping,Centro,Mochila,Acessórios,9.0,251.04
2024-02-03 20:19:50.977443,Loja Centro,Centro,Mochila,Acessórios,11.0,72.19
2024-02-04 18:17:08.571428,Loja Centro,Centro,Mochila,Acessórios,12.0,85.99
2024-02-05 16:14:26.165413,Loja Sul,Sul,Mochila,Acessórios,10.0,197.45
2024-02-06 14:11:43.759398,Loja Sul,Sul,Boné,Acessórios,8.0,274.2
2024-02-07 12:09:01.353383,Loja Sul,Sul,Jaqueta,Vestuário,6.0,108.54
2024-02-08 10:06:18.947368,Loja Norte,Norte,Mochila,Acessórios,,184.73
2024-02-09 08:03:36.541353,Loja Shopping,Centro,Jaqueta,Vestuário,8.0,211.23
2024-02-10 06:00:54.135338,Loja Shopping,Centro,Jaqueta,Vestuário,12.0,146.55
2024-02-11 03:58:11.729323,Loja Shopping,Centro,Calça Jeans,Vestuário,5.0,219.86
2024-02-12 01:55:29.323308,Loja Shopping,Centro,Boné,Acessórios,8.0,271.91
2024-02-12 23:52:46.917293,Loja Sul,Sul,Mochila,Acessórios,10.0,194.75
2024-02-13 21:50:04.511278,Loja Norte,Norte,Camiseta,Vestuário,12.0,171.14
2024-02-14 19:47:22.105263,Loja Norte,Norte,Tênis,Calçados,4.0,142.85
2024-02-15 17:44:39.699248,Loja Sul,Sul,Camiseta,Vestuário,10.0,181.7
2024-02-16 15:41:57.293233,Loja Norte,Norte,Boné,Acessórios,8.0,119.5
2024-02-17 13:39:14.887218,Loja Sul,Sul,Tênis,Calçados,10.0,129.61
2024-02-18 11:36:32.481203,Loja Shopping,Centro,Boné,Acessórios,12.0,168.92
2024-02-19 09:33:50.075187,Loja Sul,Sul,Jaqueta,Vestuário,2.0,38.65
2024-02-20 07:31:07.669172,Loja Shopping,Centro,Tênis,Calçados,12.0,84.13
2024-02-21 05:28:25.263157,Loja Shopping,Centro,Jaqueta,Vestuário,12.0,172.0
2024-02-22 03:25:42.857142,Loja Centro,Centro,Camiseta,Vestuário,5.0,140.83
2024-02-23 01:23:00.451127,Loja Sul,Sul,Camiseta,Vestuário,9.0,113.19
2024-02-23 23:20:18.045112,Loja Centro,Centro,Tênis,Calçados,4.0,224.55
2024-02-24 21:17:35.639097,Loja Sul,Sul,Tênis,Calçados,11.0,214.24
2024-02-25 19:14:53.233082,Loja Sul,Sul,Mochila,Acessórios,6.0,66.68
2024-02-26 17:12:10.827067,Loja Centro,Centro,Boné,Acessórios,1.0,266.02
2024-02-27 15:09:28.421052,Loja Centro,Centro,Mochila,Acessórios,9.0,158.72
2024-02-28 13:06:46.015037,Loja Sul,Sul,Boné,Acessórios,1.0,227.61
2024-02-29 11:04:03.609022,Loja Norte,Norte,Mochila,Acessórios,5.0,180.48
2024-03-01 09:01:21.203007,Loja Shopping,Centro,Jaqueta,Vestuário,4.0,299.35
2024-03-02 06:58:38.796992,Loja Centro,Centro,Tênis,Calçados,13.0,230.67
2024-03-03 04:55:56.390977,Loja Shopping,Centro,Camiseta,Vestuário,12.0,217.95
2024-03-04 02:53:13.984962,Loja Norte,Norte,Boné,Acessórios,13.0,238.0
2024-03-05 00:50:31.578947,Loja Norte,Norte,Boné,Acessórios,13.0,60.08
2024-03-05 22:47:49.172932,Loja Norte,Norte,Camiseta,Vestuário,14.0,77.27
2024-03-06 20:45:06.766917,Loja Centro,Centro,Mochila,Acessórios,3.0,219.94
2024-03-07 18:42:24.360902,Loja Norte,Norte,Boné,Acessórios,13.0,158.31
2024-03-08 16:39:41.954887,Loja Centro,Centro,Jaqueta,Vestuário,6.0,231.3
2024-03-09 14:36:59.548872,Loja Norte,Norte,Tênis,Calçados,2.0,48.82
2024-03-10 12:34:17.142857,Loja Shopping,Centro,Camiseta,Vestuário,3.0,170.21
2024-03-11 10:31:34.736842,Loja Shopping,Centro,Tênis,Calçados,5.0,126.07
2024-03-12 08:28:52.330827,Loja Sul,Sul,Boné,Acessórios,9.0,147.96
2024-03-13 06:26:09.924812,Loja Shopping,Centro,Boné,Acessórios,2.0,189.11
2024-03-14 04:23:27.518796,Loja Sul,Sul,Camiseta,Vestuário,10.0,160.64
2024-03-15 02:20:45.112781,Loja Shopping,Centro,Jaqueta,Vestuário,8.0,171.16
2024-03-16 00:18:02.706766,Loja Centro,Centro,Calça Jeans,Vestuário,14.0,
2024-03-16 22:15:20.300751,Loja Shopping,Centro,Camiseta,Vestuário,2.0,134.51
2024-03-17 20:12:37.894736,Loja Sul,Sul,Calça Jeans,Vestuário,11.0,236.13
2024-03-18 18:09:55.488721,Loja Sul,Sul,Mochila,Acessórios,13.0,23.42
2024-03-19 16:07:13.082706,Loja Norte,Norte,Calça Jeans,Vestuário,5.0,187.56
2024-03-20 14:04:30.676691,Loja Centro,Centro,Jaqueta,Vestuário,7.0,178.34
2024-03-21 12:01:48.270676,Loja Shopping,Centro,Mochila,Acessórios,8.0,220.53
2024-03-22 09:59:05.864661,Loja Norte,Norte,Calça Jeans,Vestuário,1.0,187.73
2024-03-23 07:56:23.458646,Loja Shopping,Centro,Mochila,Acessórios,6.0,251.5
2024-03-24 05:53:41.052631,Loja Shopping,Centro,Calça Jeans,Vestuário,1.0,288.54
2024-03-25 03:50:58.646616,Loja Norte,Norte,Jaqueta,Vestuário,2.0,115.91
2024-03-26 01:48:16.240601,Loja Norte,Norte,Calça Jeans,Vestuário,1.0,83.66
2024-03-26 23:45:33.834586,Loja Norte,Norte,Calça Jeans,Vestuário,11.0,138.61
2024-03-27 21:42:51.428571,Loja Norte,Norte,Calça Jeans,Vestuário,5.0,100.62
2024-03-28 19:40:09.022556,Loja Norte,Norte,Camiseta,Vestuário,10.0,192.19
2024-03-29 17:37:26.616541,Loja Shopping,Centro,Camiseta,Vestuário,9.0,275.32
2024-03-30 15:34:44.210526,Loja Norte,Norte,Camiseta,Vestuário,6.0,58.95
2024-03-31 13:32:01.804511,Loja Centro,Centro,Jaqueta,Vestuário,11.0,48.22
2024-04-01 11:29:19.398496,Loja Sul,Sul,Mochila,Acessórios,11.0,91.68
2024-04-02 09:26:36.992481,Loja Norte,Norte,Boné,Acessórios,1.0,223.31
2024-04-03 07:23:54.586466,Loja Norte,Norte,Calça Jeans,Vestuário,13.0,186.03
2024-04-04 05:21:12.180451,Loja Shopping,Centro,Calça Jeans,Vestuário,1.0,48.62
2024-04-05 03:18:29.774436,Loja Norte,Norte,Jaqueta,Vestuário,2.0,277.25
2024-04-06 01:15:47.368421,Loja Norte,Norte,Calça Jeans,Vestuário,9.0,241.22
2024-04-06 23:13:04.962406,Loja Norte,Norte,Camiseta,Vestuário,3.0,26.45
2024-04-07 21:10:22.556390,Loja Shopping,Centro,Boné,Acessórios,1.0,202.38
2024-04-08 19:07:40.150375,Loja Norte,Norte,Tênis,Calçados,5.0,235.95
2024-04-09 17:04:57.744360,Loja Sul,Sul,Calça Jeans,Vestuário,7.0,124.84
2024-04-10 15:02:15.338345,Loja Shopping,Centro,Camiseta,Vestuário,6.0,39.3
2024-04-11 12:59:32.932330,Loja Sul,Sul,Tênis,Calçados,12.0,41.65
2024-04-12 10:56:50.526315,Loja Shopping,Centro,Boné,Acessórios,1.0,49.19
2024-04-13 08:54:08.120300,Loja Norte,Norte,Tênis,Calçados,5.0,255.32
2024-04-14 06:51:25.714285,Loja Sul,Sul,Camiseta,Vestuário,5.0,274.99
2024-04-15 04:48:43.308270,Loja Shopping,Centro,Mochila,Acessórios,6.0,54.39
2024-04-16 02:46:00.902255,Loja Centro,Centro,Mochila,Acessórios,3.0,86.05
2024-04-17 00:43:18.496240,Loja Norte,Norte,Tênis,Calçados,5.0,66.35
2024-04-17 22:40:36.090225,Loja Shopping,Centro,Jaqueta,Vestuário,7.0,72.17
2024-04-18 20:37:53.684210,Loja Centro,Centro,Tênis,Calçados,5.0,254.5
2024-04-19 18:35:11.278195,Loja Shopping,Centro,Calça Jeans,Vestuário,5.0,113.0
2024-04-20 16:32:28.872180,Loja Centro,Centro,Calça Jeans,Vestuário,5.0,107.2
2024-04-21 14:29:46.466165,Loja Norte,Norte,Mochila,Acessórios,10.0,83.67
2024-04-22 12:27:04.060150,Loja Sul,Sul,Jaqueta,Vestuário,10.0,190.21
2024-04-23 10:24:21.654135,Loja Centro,Centro,Camiseta,Vestuário,3.0,126.21
2024-04-24 08:21:39.248120,Loja Shopping,Centro,Calça Jeans,Vestuário,1.0,228.39
2024-04-25 06:18:56.842105,Loja Norte,Norte,Mochila,Acessórios,5.0,77.56
2024-04-26 04:16:14.436090,Loja Centro,Centro,Boné,Acessórios,14.0,240.58
2024-04-27 02:13:32.030075,Loja Shopping,Centro,Mochila,Acessórios,9.0,189.04
2024-04-28 00:10:49.624060,Loja Shopping,Centro,Calça Jeans,Vestuário,14.0,51.99
2024-04-28 22:08:07.218045,Loja Shopping,Centro,Calça Jeans,Vestuário,1.0,136.06
2024-04-29 20:05:24.812030,Loja Centro,Centro,Mochila,Acessórios,3.0,261.79
2024-04-30 18:02:42.406015,Loja Centro,Centro,Camiseta,Vestuário,13.0,278.43
2024-05-01 16:00:00.000000,Loja Centro,Centro,Tênis,Calçados,13.0,150.4
2024-05-02 13:57:17.593984,Loja Sul,Sul,Calça Jeans,Vestuário,4.0,154.63
2024-05-03 11:54:35.187969,Loja Centro,Centro,Mochila,Acessórios,14.0,277.17
2024-05-04 09:51:52.781954,Loja Centro,Centro,Mochila,Acessórios,1.0,184.38
2024-05-05 07:49:10.375939,Loja Centro,Centro,Jaqueta,Vestuário,1.0,29.2
2024-05-06 05:46:27.969924,Loja Sul,Sul,Tênis,Calçados,8.0,275.57
2024-05-07 03:43:45.563909,Loja Centro,Centro,Boné,Acessórios,2.0,89.5
2024-05-08 01:41:03.157894,Loja Shopping,Centro,Camiseta,Vestuário,12.0,181.74
2024-05-08 23:38:20.751879,Loja Centro,Centro,Boné,Acessórios,8.0,
2024-05-09 21:35:38.345864,Loja Shopping,Centro,Tênis,Calçados,7.0,29.49
2024-05-10 19:32:55.939849,Loja Shopping,Centro,Tênis,Calçados,10.0,107.21
2024-05-11 17:30:13.533834,Loja Shopping,Centro,Tênis,Calçados,10.0,238.54
2024-05-12 15:27:31.127819,Loja Sul,Sul,Boné,Acessórios,2.0,97.72
2024-05-13 13:24:48.721804,Loja Sul,Sul,Tênis,Calçados,6.0,81.63
2024-05-14 11:22:06.315789,Loja Sul,Sul,Mochila,Acessórios,6.0,79.55
2024-05-15 09:19:23.909774,Loja Centro,Centro,Boné,Acessórios,3.0,164.25
2024-05-16 07:16:41.503759,Loja Shopping,Centro,Tênis,Calçados,11.0,293.15
2024-05-17 05:13:59.097744,Loja Sul,Sul,Mochila,Acessórios,2.0,148.52
2024-05-18 03:11:16.691729,Loja Sul,Sul,Jaqueta,Vestuário,12.0,176.05
2024-05-19 01:08:34.285714,Loja Centro,Centro,Tênis,Calçados,1.0,260.98
2024-05-19 23:05:51.879699,Loja Sul,Sul,Boné,Acessórios,6.0,169.82
2024-05-20 21:03:09.473684,Loja Centro,Centro,Calça Jeans,Vestuário,12.0,71.65
2024-05-21 19:00:27.067669,Loja Norte,Norte,Tênis,Calçados,5.0,103.89
2024-05-22 16:57:44.661654,Loja Sul,Sul,Calça Jeans,Vestuário,14.0,106.78
2024-05-23 14:55:02.255639,Loja Norte,Norte,Mochila,Acessórios,14.0,131.25
2024-05-24 12:52:19.849624,Loja Centro,Centro,Jaqueta,Vestuário,11.0,139.5
2024-05-25 10:49:37.443609,Loja Shopping,Centro,Camiseta,Vestuário,9.0,243.94
2024-05-26 08:46:55.037593,Loja Sul,Sul,Jaqueta,Vestuário,1.0,117.83
2024-05-27 06:44:12.631578,Loja Centro,Centro,Tênis,Calçados,7.0,151.1
2024-05-28 04:41:30.225563,Loja Shopping,Centro,Calça Jeans,Vestuário,5.0,194.99
2024-05-29 02:38:47.819548,Loja Shopping,Centro,Calça Jeans,Vestuário,5.0,125.76
2024-05-30 00:36:05.413533,Loja Norte,Norte,Boné,Acessórios,14.0,254.24
2024-05-30 22:33:23.007518,Loja Centro,Centro,Calça Jeans,Vestuário,2.0,184.49
2024-05-31 20:30:40.601503,Loja Shopping,Centro,Boné,Acessórios,11.0,102.33
2024-06-01 18:27:58.195488,Loja Sul,Sul,Mochila,Acessórios,3.0,219.94
2024-06-02 16:25:15.789473,Loja Sul,Sul,Camiseta,Vestuário,7.0,167.74
2024-06-03 14:22:33.383458,Loja Norte,Norte,Tênis,Calçados,6.0,169.65
2024-06-04 12:19:50.977443,Loja Shopping,Centro,Boné,Acessórios,12.0,154.7
2024-06-05 10:17:08.571428,Loja Centro,Centro,Camiseta,Vestuário,2.0,159.16
2024-06-06 08:14:26.165413,Loja Sul,Sul,Calça Jeans,Vestuário,6.0,234.3
2024-06-07 06:11:43.759398,Loja Shopping,Centro,Calça Jeans,Vestuário,2.0,48.83
2024-06-08 04:09:01.353383,Loja Shopping,Centro,Camiseta,Vestuário,2.0,113.62
2024-06-09 02:06:18.947368,Loja Norte,Norte,Calça Jeans,Vestuário,2.0,41.14
2024-06-10 00:03:36.541353,Loja Sul,Sul,Mochila,Acessórios,14.0,230.91
2024-06-10 22:00:54.135338,Loja Sul,Sul,Mochila,Acessórios,11.0,96.24
2024-06-11 19:58:11.729323,Loja Centro,Centro,Camiseta,Vestuário,3.0,271.28
2024-06-12 17:55:29.323308,Loja Sul,Sul,Boné,Acessórios,2.0,167.44
2024-06-13 15:52:46.917293,Loja Centro,Centro,Boné,Acessórios,4.0,244.21
2024-06-14 13:50:04.511278,Loja Sul,Sul,Camiseta,Vestuário,,294.1
2024-06-15 11:47:22.105263,Loja Norte,Norte,Boné,Acessórios,6.0,255.14
2024-06-16 09:44:39.699248,Loja Sul,Sul,Boné,Acessórios,1.0,262.76
2024-06-17 07:41:57.293233,Loja Centro,Centro,Mochila,Acessórios,8.0,134.24
2024-06-18 05:39:14.887218,Loja Centro,Centro,Boné,Acessórios,12.0,174.48
2024-06-19 03:36:32.481203,Loja Norte,Norte,Jaqueta,Vestuário,14.0,91.09
2024-06-20 01:33:50.075187,Loja Sul,Sul,Tênis,Calçados,7.0,74.91
2024-06-20 23:31:07.669172,Loja Sul,Sul,Calça Jeans,Vestuário,10.0,161.54
2024-06-21 21:28:25.263157,Loja Norte,Norte,Jaqueta,Vestuário,3.0,186.61
2024-06-22 19:25:42.857142,Loja Sul,Sul,Boné,Acessórios,1.0,115.0
2024-06-23 17:23:00.451127,Loja Sul,Sul,Mochila,Acessórios,5.0,179.44
2024-06-24 15:20:18.045112,Loja Centro,Centro,Camiseta,Vestuário,13.0,268.49
2024-06-25 13:17:35.639097,Loja Sul,Sul,Boné,Acessórios,4.0,175.88
2024-06-26 11:14:53.233082,Loja Sul,Sul,Mochila,Acessórios,10.0,221.83
2024-06-27 09:12:10.827067,Loja Norte,Norte,Tênis,Calçados,8.0,245.49
2024-06-28 07:09:28.421052,Loja Norte,Norte,Boné,Acessórios,1.0,296.84
2024-06-29 05:06:46.015037,Loja Shopping,Centro,Camiseta,Vestuário,10.0,188.9
2024-06-30 03:04:03.609022,Loja Centro,Centro,Mochila,Acessórios,1.0,245.92
2024-07-01 01:01:21.203007,Loja Sul,Sul,Mochila,Acessórios,12.0,289.54
2024-07-01 22:58:38.796992,Loja Sul,Sul,Mochila,Acessórios,4.0,284.43
2024-07-02 20:55:56.390977,Loja Shopping,Centro,Tênis,Calçados,8.0,59.5
2024-07-03 18:53:13.984962,Loja Sul,Sul,Boné,Acessórios,5.0,133.79
2024-07-04 16:50:31.578947,Loja Centro,Centro,Tênis,Calçados,2.0,110.72
2024-07-05 14:47:49.172932,Loja Shopping,Centro,Calça Jeans,Vestuário,6.0,44.34
2024-07-06 12:45:06.766917,Loja Centro,Centro,Calça Jeans,Vestuário,5.0,197.31
2024-07-07 10:42:24.360902,Loja Shopping,Centro,Boné,Acessórios,2.0,226.05
2024-07-08 08:39:41.954887,Loja Shopping,Centro,Tênis,Calçados,13.0,257.48
2024-07-09 06:36:59.548872,Loja Norte,Norte,Camiseta,Vestuário,14.0,54.38
2024-07-10 04:34:17.142857,Loja Centro,Centro,Mochila,Acessórios,11.0,265.4
2024-07-11 02:31:34.736842,Loja Sul,Sul,Mochila,Acessórios,11.0,200.02
2024-07-12 00:28:52.330827,Loja Sul,Sul,Boné,Acessórios,11.0,217.1
2024-07-12 22:26:09.924812,Loja Centro,Centro,Calça Jeans,Vestuário,3.0,
2024-07-13 20:23:27.518796,Loja Sul,Sul,Calça Jeans,Vestuário,9.0,194.93
2024-07-14 18:20:45.112781,Loja Sul,Sul,Mochila,Acessórios,7.0,114.04
2024-07-15 16:18:02.706766,Loja Centro,Centro,Boné,Acessórios,7.0,251.03
2024-07-16 14:15:20.300751,Loja Shopping,Centro,Tênis,Calçados,11.0,121.66
2024-07-17 12:12:37.894736,Loja Centro,Centro,Calça Jeans,Vestuário,6.0,29.58
2024-07-18 10:09:55.488721,Loja Shopping,Centro,Tênis,Calçados,8.0,252.58
2024-07-19 08:07:13.082706,Loja Sul,Sul,Calça Jeans,Vestuário,4.0,116.65
2024-07-20 06:04:30.676691,Loja Sul,Sul,Calça Jeans,Vestuário,8.0,236.67
2024-07-21 04:01:48.270676,Loja Sul,Sul,Jaqueta,Vestuário,4.0,121.57
2024-07-22 01:59:05.864661,Loja Norte,Norte,Calça Jeans,Vestuário,8.0,261.1
2024-07-22 23:56:23.458646,Loja Shopping,Centro,Camiseta,Vestuário,9.0,81.46
2024-07-23 21:53:41.052631,Loja Norte,Norte,Boné,Acessórios,3.0,292.87
2024-07-24 19:50:58.646616,Loja Norte,Norte,Boné,Acessórios,3.0,238.33
2024-07-25 17:48:16.240601,Loja Centro,Centro,Tênis,Calçados,11.0,51.99
2024-07-26 15:45:33.834586,Loja Norte,Norte,Calça Jeans,Vestuário,13.0,178.42
2024-07-27 13:42:51.428571,Loja Centro,Centro,Camiseta,Vestuário,2.0,295.9
2024-07-28 11:40:09.022556,Loja Centro,Centro,Tênis,Calçados,13.0,151.9
2024-07-29 09:37:26.616541,Loja Norte,Norte,Jaqueta,Vestuário,10.0,70.99
2024-07-30 07:34:44.210526,Loja Shopping,Centro,Tênis,Calçados,3.0,155.74
2024-07-31 05:32:01.804511,Loja Shopping,Centro,Tênis,Calçados,3.0,163.49
2024-08-01 03:29:19.398496,Loja Shopping,Centro,Calça Jeans,Vestuário,5.0,227.67
2024-08-02 01:26:36.992481,Loja Shopping,Centro,Jaqueta,Vestuário,5.0,215.68
2024-08-02 23:23:54.586466,Loja Shopping,Centro,Tênis,Calçados,2.0,132.71
2024-08-03 21:21:12.180451,Loja Norte,Norte,Camiseta,Vestuário,12.0,81.05
2024-08-04 19:18:29.774436,Loja Norte,Norte,Camiseta,Vestuário,10.0,200.62
2024-08-05 17:15:47.368421,Loja Sul,Sul,Boné,Acessórios,13.0,138.08
2024-08-06 15:13:04.962406,Loja Shopping,Centro,Jaqueta,Vestuário,6.0,57.04
2024-08-07 13:10:22.556390,Loja Norte,Norte,Jaqueta,Vestuário,5.0,272.16
2024-08-08 11:07:40.150375,Loja Sul,Sul,Boné,Acessórios,6.0,213.54
2024-08-09 09:04:57.744360,Loja Shopping,Centro,Tênis,Calçados,1.0,211.29
2024-08-10 07:02:15.338345,Loja Centro,Centro,Jaqueta,Vestuário,5.0,250.32
2024-08-11 04:59:32.932330,Loja Sul,Sul,Camiseta,Vestuário,9.0,168.31
2024-08-12 02:56:50.526315,Loja Norte,Norte,Camiseta,Vestuário,12.0,248.22
2024-08-13 00:54:08.120300,Loja Centro,Centro,Calça Jeans,Vestuário,10.0,159.47
2024-08-13 22:51:25.714285,Loja Centro,Centro,Jaqueta,Vestuário,14.0,38.81
2024-08-14 20:48:43.308270,Loja Centro,Centro,Tênis,Calçados,2.0,133.47
2024-08-15 18:46:00.902255,Loja Sul,Sul,Boné,Acessórios,1.0,159.29
2024-08-16 16:43:18.496240,Loja Norte,Norte,Boné,Acessórios,14.0,221.66
2024-08-17 14:40:36.090225,Loja Centro,Centro,Tênis,Calçados,10.0,49.84
2024-08-18 12:37:53.684210,Loja Shopping,Centro,Mochila,Acessórios,13.0,59.21
2024-08-19 10:35:11.278195,Loja Centro,Centro,Calça Jeans,Vestuário,11.0,93.83
2024-08-20 08:32:28.872180,Loja Centro,Centro,Boné,Acessórios,9.0,94.62
2024-08-21 06:29:46.466165,Loja Sul,Sul,Jaqueta,Vestuário,10.0,225.01
2024-08-22 04:27:04.060150,Loja Sul,Sul,Calça Jeans,Vestuário,9.0,90.2
2024-08-23 02:24:21.654135,Loja Norte,Norte,Jaqueta,Vestuário,9.0,197.27
2024-08-24 00:21:39.248120,Loja Shopping,Centro,Camiseta,Vestuário,6.0,158.4
2024-08-24 22:18:56.842105,Loja Sul,Sul,Calça Jeans,Vestuário,8.0,180.52
2024-08-25 20:16:14.436090,Loja Centro,Centro,Boné,Acessórios,14.0,254.67
2024-08-26 18:13:32.030075,Loja Norte,Norte,Calça Jeans,Vestuário,11.0,133.23
2024-08-27 16:10:49.624060,Loja Centro,Centro,Calça Jeans,Vestuário,13.0,235.86
2024-08-28 14:08:07.218045,Loja Centro,Centro,Calça Jeans,Vestuário,1.0,138.17
2024-08-29 12:05:24.812030,Loja Sul,Sul,Mochila,Acessórios,10.0,119.08
2024-08-30 10:02:42.406015,Loja Norte,Norte,Calça Jeans,Vestuário,4.0,288.42
2024-08-31 08:00:00.000000,Loja Shopping,Centro,Jaqueta,Vestuário,1.0,71.62
2024-09-01 05:57:17.593984,Loja Shopping,Centro,Camiseta,Vestuário,8.0,45.29
2024-09-02 03:54:35.187969,Loja Sul,Sul,Tênis,Calçados,1.0,235.88
2024-09-03 01:51:52.781954,Loja Sul,Sul,Calça Jeans,Vestuário,3.0,39.11
2024-09-03 23:49:10.375939,Loja Norte,Norte,Boné,Acessórios,13.0,254.38
2024-09-04 21:46:27.969924,Loja Shopping,Centro,Calça Jeans,Vestuário,4.0,142.41
2024-09-05 19:43:45.563909,Loja Shopping,Centro,Boné,Acessórios,8.0,276.34
2024-09-06 17:41:03.157894,Loja Shopping,Centro,Jaqueta,Vestuário,6.0,222.03
2024-09-07 15:38:20.751879,Loja Centro,Centro,Boné,Acessórios,14.0,190.91
2024-09-08 13:35:38.345864,Loja Shopping,Centro,Tênis,Calçados,10.0,285.81
2024-09-09 11:32:55.939849,Loja Centro,Centro,Camiseta,Vestuário,12.0,131.06
2024-09-10 09:30:13.533834,Loja Norte,Norte,Boné,Acessórios,7.0,287.14
2024-09-11 07:27:31.127819,Loja Centro,Centro,Boné,Acessórios,14.0,57.8
2024-09-12 05:24:48.721804,Loja Norte,Norte,Camiseta,Vestuário,8.0,155.45
2024-09-13 03:22:06.315789,Loja Shopping,Centro,Tênis,Calçados,2.0,95.58
2024-09-14 01:19:23.909774,Loja Shopping,Centro,Calça Jeans,Vestuário,13.0,171.16
2024-09-14 23:16:41.503759,Loja Norte,Norte,Boné,Acessórios,10.0,65.36
2024-09-15 21:13:59.097744,Loja Sul,Sul,Camiseta,Vestuário,14.0,255.63
2024-09-16 19:11:16.691729,Loja Norte,Norte,Jaqueta,Vestuário,11.0,256.99
2024-09-17 17:08:34.285714,Loja Sul,Sul,Camiseta,Vestuário,8.0,287.47
2024-09-18 15:05:51.879699,Loja Centro,Centro,Jaqueta,Vestuário,3.0,63.31
2024-09-19 13:03:09.473684,Loja Centro,Centro,Tênis,Calçados,7.0,194.53
2024-09-20 11:00:27.067669,Loja Centro,Centro,Calça Jeans,Vestuário,3.0,152.79
2024-09-21 08:57:44.661654,Loja Shopping,Centro,Camiseta,Vestuário,7.0,116.43
2024-09-22 06:55:02.255639,Loja Centro,Centro,Mochila,Acessórios,14.0,118.43
2024-09-23 04:52:19.849624,Loja Sul,Sul,Boné,Acessórios,11.0,135.58
2024-09-24 02:49:37.443609,Loja Centro,Centro,Tênis,Calçados,12.0,217.38
2024-09-25 00:46:55.037593,Loja Norte,Norte,Camiseta,Vestuário,13.0,187.52
2024-09-25 22:44:12.631578,Loja Norte,Norte,Boné,Acessórios,2.0,148.71
2024-09-26 20:41:30.225563,Loja Shopping,Centro,Camiseta,Vestuário,10.0,41.26
2024-09-27 18:38:47.819548,Loja Norte,Norte,Jaqueta,Vestuário,6.0,
